Unnamed: 0,VPD_NOMINALINCIDENTID_PK,VPD_CONSENTNAME,VPD_NOCONSENTREASON,VPD_CREATEDON,VPD_LASTUPDATEDON,VPD_NOMINALSYNOPSIS,VPD_GPCONSENT,VPD_VPTYPEID_FK,VPD_INCIDENTID_FK,VPD_WELLBEINGCOMMENTS,VPD_NOTINFORMEDREASON,VPD_NOGPCONSENTREASON,VPD_SCRA,VPD_THREEPOINTTEST,VPD_YOUTHATTITUDE,VPD_PARENTATTITUDE,VPD_NOMINALSVIEW,VPD_CHILDPROTECTION,VPD_RECORD_START_DATE,VPD_FORENAME,VPD_SURNAME,VPD_MAIDEN_NAME,VPD_CREATEDON_1,VPD_PLACEOFBIRTH,VPD_PERSONLANGUAGE,VPD_INTERPRETERREQID_FK,VPD_DISABILITY,VPD_DISABILITYDESC,VPD_PERSONETHNICAPPEARANCE,VPD_PERSONGENDER,VPD_KNOWNAS,VPD_REPEATVICTIM,VPD_REPEATPERPETRATOR,misper_misperid,entities_landmarks,entities_addresses,entities_location_types,entities_people_names,entities_people_desc,entities_people_relat,entities_pattern_types,vpd_serious_and_organised_crime_exploitation,vpd_stalking_and_harassment,vpd_suicide_concern,vpd_violence_used,vpd_weapon_used__acra_only_,vpd_bullying,vpd_child_at_locus,vpd_neglect,vpd_self_neglect,vpd_child_criminal_exploitation__cce_,vpd_child_sexual_exploitation__cse_,vpd_community_triage_service,vpd_distress_brief_intervention__dbi_,vpd_dsdas,vpd_child_victim,vpd_child_witnessed,vpd_female_genital_mutilation__fgm_,vpd_forced_marriage__fm_,vpd_gambling,vpd_honour_based_abuse__hba_,vpd_human_trafficking,vpd_looked_after_accommodated_child__laac_,vpd_missing_person,vpd_online_child_sexual_abuse_and_exploitation__ocsae_,vpd_pregnancy__unborn_baby_,vpd_sexual_harm,vpd_elderly,vpd_attempted_suicide,vpd_financial,vpd_sight_loss,vpd_physical_disability,vpd_psychological_harm,vpd_self_harm,vpd_isolation,vpd_hearing_loss,vpd_alcohol_consumption,vpd_learning_disability,vpd_communication_needs,vpd_mental_health_issues,vpd_drug_consumption,vpd_other,vpd_radicalisation
0,100367,Beverley Smith,Would not engage with police,2015-06-04 01:29:47,2015-06-05 17:48:47,"Malcolm is not engaging with support services, raising concerns about his wellbeing and reluctance for police contact.",4,1,755610,Malcolm is not engaging with support services at this time.,Would not engage with police,Would not engage with police,100,1,,,Malcolm unwilling to engage; no consent given for database.,,28-Nov-2022 14:48:11.000Z[UTC],Malcolm,Smith,,2015-05-09 00:52:47,Nottingham,English,1,No,,White English,Male,,N,N,9315,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,100368,Brett Hill,No consent was given for information to be shared.,2015-11-08 18:56:47,2015-11-08 22:36:47,Malcolm visits juvenile center.,4,1,814536,Malcolm has shown signs of improvement and positive engagement.,No consent was given for information to be shared.,No consent was given for information to be shared.,100,1,,,"Malcolm unaware of database input, consent not provided.",,28-Nov-2022 14:48:11.000Z[UTC],Malcolm,Smith,,2015-05-09 00:52:47,Nottingham,English,1,No,,White English,Male,,N,N,9315,,,juvenile center,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,100369,Beverley Smith,,2016-01-12 18:42:47,2016-01-14 18:42:47,,4,1,998012,Malcolm is managing well and engaged in supportive activities.,,,100,1,,,Malcolm understands situation and consents to database entry.,,28-Nov-2022 14:48:11.000Z[UTC],Malcolm,Smith,,2015-05-09 00:52:47,Nottingham,English,1,No,,White English,Male,,N,N,9315,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,100370,Beverley Smith,Unable to locate,2016-06-04 19:34:47,2016-06-04 19:34:47,Malcolm displayed distress in public space.,4,1,998719,Malcolm's wellbeing is monitored by appropriate support services.,Unable to locate,Unable to locate,100,2,,,Malcolm feels misunderstood and unable to provide consent.,,28-Nov-2022 14:48:11.000Z[UTC],Malcolm,Smith,,2015-05-09 00:52:47,Nottingham,English,1,No,,White English,Male,,N,N,9315,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,100371,Malcolm Smith,,2016-10-19 10:40:47,2016-10-19 10:40:47,,2,1,999292,Malcolm is stable and consenting to support services available.,,,100,2,,,"Malcolm consented to database entry, understanding the situation.",,28-Nov-2022 14:48:11.000Z[UTC],Malcolm,Smith,,2015-05-09 00:52:47,Nottingham,English,1,No,,White English,Male,,N,N,9315,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,100372,Brett Hill,,2017-02-12 20:55:47,2017-02-12 20:55:47,,4,1,999538,Malcolm is receiving support and is doing well.,,,100,2,,,Malcolm agreed to share information for database entry.,,28-Nov-2022 14:48:11.000Z[UTC],Malcolm,Smith,,2015-05-09 00:52:47,Nottingham,English,1,No,,White English,Male,,N,N,9315,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,100373,Malcolm Smith,,2017-06-23 11:30:47,2017-06-23 11:30:47,,4,1,999614,Malcolm is stable and has no history of victimization.,,,100,2,,,Malcolm consented to database entry and understands the situation.,,28-Nov-2022 14:48:11.000Z[UTC],Malcolm,Smith,,2015-05-09 00:52:47,Nottingham,English,1,No,,White English,Male,,N,N,9315,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,100374,Brett Hill,,2017-08-19 06:09:47,2017-08-19 06:09:47,"Malcolm contacted a stranger before vanishing; Glen Moran, a friend, verified recent visits to a juvenile center.",2,1,999895,Malcolm is stable and has consented to database entry.,,,100,2,,,Malcolm understands and consents to information being recorded.,,28-Nov-2022 14:48:11.000Z[UTC],Malcolm,Smith,,2015-05-09 00:52:47,Nottingham,English,1,No,,White English,Male,,N,N,9315,,,juvenile center,,,Glen Moran friend,contacted a stranger before vanishing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,100375,Beverley Smith,Unable to locate,2017-10-03 17:07:47,2017-10-03 17:07:47,"Malcolm, living off-grid, was observed near the juvenile center, raising concerns about his wellbeing. His status remains under review as consent issues prevent database updates.",1,1,999898,Malcolm's wellbeing remains under review due to consent issues.,Unable to locate,Unable to locate,100,1,,,Malcolm unable to consent; circumstances unclear and unknown.,,28-Nov-2022 14:48:11.000Z[UTC],Malcolm,Smith,,2015-05-09 00:52:47,Nottingham,English,1,No,,White English,Male,,N,N,9315,,,juvenile center,,,,living off-grid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,100376,Anna Powell,Would not engage with police,2018-03-13 20:42:47,2018-03-13 20:42:47,"Malcolm refused police interaction at the juvenile center, expressing no signs of victimization or crime.",4,1,1000042,Malcolm is not currently a victim or perpetrator of crime.,Would not engage with police,Would not engage with police,100,2,,,Malcolm declined to engage or provide consent for details.,,28-Nov-2022 14:48:11.000Z[UTC],Malcolm,Smith,,2015-05-09 00:52:47,Nottingham,English,1,No,,White English,Male,,N,N,9315,,,juvenile center,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,100377,Anna Powell,Unable to locate,2018-04-21 11:36:47,2018-04-21 11:36:47,"Malcolm's whereabouts unknown, Glen Moran last saw him Friday.",100,1,1000050,"Malcolm is currently unaccounted for, with no consent given.",Unable to locate,Unable to locate,100,1,,,Malcolm unable to provide consent for database input.,,28-Nov-2022 14:48:11.000Z[UTC],Malcolm,Smith,,2015-05-09 00:52:47,Nottingham,English,1,No,,White English,Male,,N,N,9315,,,,,,Glen Moran,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,100378,Malcolm Smith,,2018-08-02 13:17:47,2018-08-02 13:17:47,,2,1,1000059,Malcolm is well and provides consent for support services.,,,100,2,,,Malcolm acknowledged consent for database entry without reservations.,,28-Nov-2022 14:48:11.000Z[UTC],Malcolm,Smith,,2015-05-09 00:52:47,Nottingham,English,1,No,,White English,Male,,N,N,9315,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,100379,Malcolm Smith,,2018-12-10 21:10:47,2018-12-12 21:10:47,,1,1,1000065,Malcolm is stable and managing well following support received.,,,100,2,,,Malcolm consented to database entry for support purposes.,,28-Nov-2022 14:48:11.000Z[UTC],Malcolm,Smith,,2015-05-09 00:52:47,Nottingham,English,1,No,,White English,Male,,N,N,9315,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,100380,Malcolm Smith,,2019-04-10 04:56:47,2019-04-10 04:56:47,"Malcolm, 28, was seen at a juvenile center after discussions with colleague Dominic Preston, showing no signs of distress.",2,1,1000112,"Malcolm is safe and well, with no signs of distress.",,,100,1,,,Malcolm consented to database entry for safety reasons.,,28-Nov-2022 14:48:11.000Z[UTC],Malcolm,Smith,,2015-05-09 00:52:47,Nottingham,English,1,No,,White English,Male,,N,N,9315,,,juvenile center,,,colleague Dominic Preston,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,100381,Anna Powell,No consent was given for information to be shared.,2019-08-21 18:19:47,2019-08-21 18:19:47,,2,1,1000129,Malcolm is not a repeated victim or perpetrator of incidents.,No consent was given for information to be shared.,No consent was given for information to be shared.,100,1,,,Malcolm opposed sharing his information with the database.,,28-Nov-2022 14:48:11.000Z[UTC],Malcolm,Smith,,2015-05-09 00:52:47,Nottingham,English,1,No,,White English,Male,,N,N,9315,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,100382,Anna Powell,No consent was given for information to be shared.,2020-01-11 05:21:47,2020-01-11 05:21:47,Malcolm left juvenile center overnight; Glen is aware.,2,1,1000146,Malcolm is in stable condition and not at risk.,No consent was given for information to be shared.,No consent was given for information to be shared.,100,1,,,Malcolm objected to sharing information without consent granted.,,28-Nov-2022 14:48:11.000Z[UTC],Malcolm,Smith,,2015-05-09 00:52:47,Nottingham,English,1,No,,White English,Male,,N,N,9315,,,juvenile center,Glen,,,left in middle of night,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,100383,Brett Hill,,2020-04-21 16:14:47,2020-04-23 16:14:47,"Malcolm, while involved in a legal dispute, connected with his brother Gerald Moore.",1,1,1000153,Malcolm is thriving and engaged in positive activities daily.,,,100,2,,,Malcolm consented to data input for record keeping purposes.,,28-Nov-2022 14:48:11.000Z[UTC],Malcolm,Smith,,2015-05-09 00:52:47,Nottingham,English,1,No,,White English,Male,,N,N,9315,,,,,,brother Gerald Moore,involved in legal dispute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,100384,Malcolm Smith,,2020-09-18 19:53:47,2020-09-20 19:53:47,"Malcolm was seen on Burntisland Rd, KY3 9RZ, possibly meeting brother Gerald Moore.",4,1,1000175,Malcolm is stable and engaging positively in his community.,,,100,1,,,Malcolm consented to database input; feels understood and safe.,,28-Nov-2022 14:48:11.000Z[UTC],Malcolm,Smith,,2015-05-09 00:52:47,Nottingham,English,1,No,,White English,Male,,N,N,9315,,Burntisland,,,,brother Gerald Moore,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,100385,Brett Hill,Would not engage with police,2020-11-20 06:06:47,2020-11-22 06:06:47,,100,1,1000190,Malcolm is currently not engaging with available support services.,Would not engage with police,Would not engage with police,100,1,,,Malcolm unwilling to engage; did not consent for database input.,,28-Nov-2022 14:48:11.000Z[UTC],Malcolm,Smith,,2015-05-09 00:52:47,Nottingham,English,1,No,,White English,Male,,N,N,9315,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,100386,Jane Ball,,2023-07-01 21:45:28,2023-07-03 21:45:28,,2,1,355762,Jane is managing her mobility impairment with ongoing support.,,,100,2,,,Jane understood and consented to database input without issues.,,28-Nov-2022 14:48:11.000Z[UTC],Jane,Ball,Turner,2023-05-19 11:41:28,Bangor,Punjabi,1,Yes (please specify),Mobility Impairment,White Scottish,Female,,N,N,1375,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,100387,Judith Ball,,2023-08-03 08:36:28,2023-08-03 08:36:28,,4,1,672185,Jane is currently receiving support for her mobility impairment.,,,100,2,,,Jane acknowledges understanding and consented to database input.,,28-Nov-2022 14:48:11.000Z[UTC],Jane,Ball,Turner,2023-05-19 11:41:28,Bangor,Punjabi,1,Yes (please specify),Mobility Impairment,White Scottish,Female,,N,Y,1375,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,100388,Jane Ball,,2023-10-03 17:25:28,2023-10-05 17:25:28,Jane is a survivalist with a concerned colleague.,1,1,837545,Jane experiences ongoing challenges due to mobility impairment and victimization.,,,100,2,,,Jane consented to database entry despite repeated victimization.,,28-Nov-2022 14:48:11.000Z[UTC],Jane,Ball,Turner,2023-05-19 11:41:28,Bangor,Punjabi,1,Yes (please specify),Mobility Impairment,White Scottish,Female,,Y,Y,1375,,,,,colleague,,part of survivalist community,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
3,100389,Jane Ball,,2023-10-05 19:51:28,2023-10-05 19:51:28,,2,1,874119,Jane experiences mobility challenges and is a repeated victim.,,,100,2,,,Jane feels empowered by the database inclusion and support.,,28-Nov-2022 14:48:11.000Z[UTC],Jane,Ball,Turner,2023-05-19 11:41:28,Bangor,Punjabi,1,Yes (please specify),Mobility Impairment,White Scottish,Female,,Y,Y,1375,,,,,,,,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
4,100390,Jane Ball,,2023-10-20 13:48:28,2023-10-22 13:48:28,,100,1,963688,Jane requires ongoing support due to her mobility impairment.,,,100,2,,,Jane consented to database input despite previous victimization.,,28-Nov-2022 14:48:11.000Z[UTC],Jane,Ball,Turner,2023-05-19 11:41:28,Bangor,Punjabi,1,Yes (please specify),Mobility Impairment,White Scottish,Female,,Y,Y,1375,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5,100391,Jane Ball,,2024-03-24 20:22:28,2024-03-24 20:22:28,,4,1,971868,Jane is receiving support for her mobility impairment and safety.,,,100,2,,,Jane aware of situation; consent given for database entry.,,28-Nov-2022 14:48:11.000Z[UTC],Jane,Ball,Turner,2023-05-19 11:41:28,Bangor,Punjabi,1,Yes (please specify),Mobility Impairment,White Scottish,Female,,Y,Y,1375,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,100392,Jane Ball,,2024-06-02 13:59:28,2024-06-02 13:59:28,,4,1,981510,Jane receives support for her mobility impairment and safety needs.,,,100,2,,,Jane feels safe sharing her experience for future protection.,,28-Nov-2022 14:48:11.000Z[UTC],Jane,Ball,Turner,2023-05-19 11:41:28,Bangor,Punjabi,1,Yes (please specify),Mobility Impairment,White Scottish,Female,,Y,Y,1375,,,,,,,,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
7,100393,Kevin Lyons,No consent was given for information to be shared.,2024-07-17 11:13:28,2024-07-17 11:13:28,"Jane, 33, was reported at an island amusement park by her uncle and brother, Kevin Lyons, due to recurring emotional distress and vulnerability linked to repeated victimization incidents.",2,1,993117,Jane experiences ongoing safety concerns due to repeated victimization.,No consent was given for information to be shared.,No consent was given for information to be shared.,100,1,,,Jane feels uncomfortable sharing information without consent.,,28-Nov-2022 14:48:11.000Z[UTC],Jane,Ball,Turner,2023-05-19 11:41:28,Bangor,Punjabi,1,Yes (please specify),Mobility Impairment,White Scottish,Female,,Y,Y,1375,,,"amusement park,island",,uncle,brother Kevin Lyons,,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
8,100394,Jane Ball,,2024-11-01 15:11:28,2024-11-03 15:11:28,,2,1,994711,Jane has experienced repeated victimization and requires support.,,,100,1,,,Jane understands situation but feels vulnerable due to repeated incidents.,,28-Nov-2022 14:48:11.000Z[UTC],Jane,Ball,Turner,2023-05-19 11:41:28,Bangor,Punjabi,1,Yes (please specify),Mobility Impairment,White Scottish,Female,,Y,Y,1375,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
9,100395,Jane Ball,,2025-03-29 04:08:28,2025-03-31 04:08:28,,1,1,995656,Jane is currently in a safe location with support services.,,,100,1,,,"Jane aware of situation, consents to share information.",,28-Nov-2022 14:48:11.000Z[UTC],Jane,Ball,Turner,2023-05-19 11:41:28,Bangor,Punjabi,1,Yes (please specify),Mobility Impairment,White Scottish,Female,,Y,Y,1375,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100396,Hannah Khan,,2011-08-22 07:28:46,2011-08-22 07:28:46,"Hannah, 84, receives proper support, ensuring her wellbeing remains stable and her health stays good.",1,1,670053,Hannah is in good health and receiving appropriate support.,,,100,1,,,Hannah understands situation and consents to data entry.,,28-Nov-2022 14:48:11.000Z[UTC],Hannah,Khan,Burrows,2011-06-18 03:51:46,Newcastle-upon-Tyne,English,1,Not Known,,White Welsh,Female,,N,N,1381,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,100397,Naomi Mills,,2011-10-07 10:54:46,2011-10-09 10:54:46,"Hannah, 84, was reported in a parking lot during a child custody exchange. She consented to support services and is currently safe.",1,1,924336,Hannah is safe and has given consent for support services.,,,100,2,,,Hannah understands situation and consented to database entry.,,28-Nov-2022 14:48:11.000Z[UTC],Hannah,Khan,Burrows,2011-06-18 03:51:46,Newcastle-upon-Tyne,English,1,Not Known,,White Welsh,Female,,N,N,1381,,,"parking lot,child",,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,100398,Victoria Khan,,2011-11-06 22:21:46,2011-11-08 22:21:46,,2,1,960018,Hannah is thriving and enjoying support in her community.,,,100,2,,,Hannah agreed to database input for her situation.,,28-Nov-2022 14:48:11.000Z[UTC],Hannah,Khan,Burrows,2011-06-18 03:51:46,Newcastle-upon-Tyne,English,1,Not Known,,White Welsh,Female,,N,N,1381,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,100399,Hannah Khan,,2012-03-05 01:10:46,2012-03-05 01:10:46,Hannah's colleague reported concern.,2,1,970968,Hannah is safe and receives support for her wellbeing.,,,100,2,,,"Hannah consented to database input, understands the situation.",,28-Nov-2022 14:48:11.000Z[UTC],Hannah,Khan,Burrows,2011-06-18 03:51:46,Newcastle-upon-Tyne,English,1,Not Known,,White Welsh,Female,,N,N,1381,,,,,colleague,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,100400,Hannah Khan,,2012-08-10 10:44:46,2012-08-10 10:44:46,,1,1,996011,Hannah is healthy and supported in her daily activities.,,,100,2,,,Hannah understood and consented to database input fully.,,28-Nov-2022 14:48:11.000Z[UTC],Hannah,Khan,Burrows,2011-06-18 03:51:46,Newcastle-upon-Tyne,English,1,Not Known,,White Welsh,Female,,N,N,1381,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,100401,Frances Barnett,Unable to locate,2012-09-09 15:05:46,2012-09-11 15:05:46,,100,1,997961,Hannah's wellbeing is currently unverified; consent not obtained.,Unable to locate,Unable to locate,100,1,,,"Hannah unaware of database input, consent not obtained.",,28-Nov-2022 14:48:11.000Z[UTC],Hannah,Khan,Burrows,2011-06-18 03:51:46,Newcastle-upon-Tyne,English,1,Not Known,,White Welsh,Female,,N,N,1381,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,100402,Hannah Khan,,2013-03-01 09:57:46,2013-03-01 19:49:46,,4,1,998257,Hannah is healthy and receiving appropriate support services.,,,100,1,,,Hannah understands and consents to her details being recorded.,,28-Nov-2022 14:48:11.000Z[UTC],Hannah,Khan,Burrows,2011-06-18 03:51:46,Newcastle-upon-Tyne,English,1,Not Known,,White Welsh,Female,,N,N,1381,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,100403,Hannah Khan,,2013-03-20 07:55:46,2013-03-20 16:19:46,,2,1,999327,Hannah is doing well and not experiencing any victimization.,,,100,1,,,Hannah understands the situation and consented to database input.,,28-Nov-2022 14:48:11.000Z[UTC],Hannah,Khan,Burrows,2011-06-18 03:51:46,Newcastle-upon-Tyne,English,1,Not Known,,White Welsh,Female,,N,N,1381,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100404,Matthew James,,2021-12-28 21:22:00,2021-12-28 21:22:00,,1,1,625620,"Tony is currently safe and well, receiving appropriate support.",,,100,2,Tony feels safe around police and trusts their presence in the community.,The parents' attitude could have been one of concern regarding the safety and reliability of police presence in the community.,Tony understands the situation and consented to database input.,,28-Nov-2022 14:48:11.000Z[UTC],Tony,Stevenson,,2021-07-15 01:13:00,Chichester,Spanish,1,Not Known,,White English,Male,Orange,N,N,7288,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,100405,Charlie Adams,Would not engage with police,2022-03-04 09:41:00,2022-03-04 09:41:00,"Tony, fearing deportation and unengaged with support, was last seen by the river after speaking with Charlie Adams, raising concerns about his wellbeing.",4,1,760860,Tony is not engaged with support services at this time.,Would not engage with police,Would not engage with police,100,1,Tony expressed distrust and refused to engage with the police.,The parents' attitude may have been one of concern regarding the safety and treatment of their children by law enforcement.,Tony declined police involvement and is unwilling to cooperate.,,28-Nov-2022 14:48:11.000Z[UTC],Tony,Stevenson,,2021-07-15 01:13:00,Chichester,Spanish,1,Not Known,,White English,Male,Orange,N,N,7288,,,river,Charlie Adams,,,fear of deportation,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
2,100406,Jane Stevenson,,2022-04-30 13:07:00,2022-04-30 13:07:00,,100,1,978700,"Tony is safe and well, no history of victimization.",,,100,1,Tony seems apprehensive but willing to cooperate with the police.,The parents' attitude may have been concerned and protective.,Tony expressed understanding and consent for database inclusion.,,28-Nov-2022 14:48:11.000Z[UTC],Tony,Stevenson,,2021-07-15 01:13:00,Chichester,Spanish,1,Not Known,,White English,Male,Orange,N,N,7288,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,100407,Tony Stevenson,,2022-08-19 13:12:00,2022-08-19 13:12:00,,1,1,988193,Tony is thriving and receiving support for his wellbeing.,,,100,2,Tony expressed trust in the police and felt secure reporting his situation.,The parents' attitude could have been one of cautious skepticism towards the police.,Tony consented to having his details added to the database.,,28-Nov-2022 14:48:11.000Z[UTC],Tony,Stevenson,,2021-07-15 01:13:00,Chichester,Spanish,1,Not Known,,White English,Male,Orange,N,N,7288,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100408,Ryan Williams,Unable to locate,2016-06-05 17:55:34,2016-06-07 05:22:34,Ian planned to sleep rough near a storm drain.,2,1,112387,Ian is currently unresponsive; consent for records not obtained.,Unable to locate,Unable to locate,100,1,,,"Ian unable to consent, circumstances unclear for database input.",,28-Nov-2022 14:48:11.000Z[UTC],Ian,Stanley,,2016-04-26 19:25:34,Newcastle-upon-Tyne,English,1,Not Known,,White English,Male,,N,N,5179,,,storm drain,,,,planned to sleep rough,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
